half_life_days,lambda,avg_log_loss,avg_brier,avg_accuracy,n_total,WC2018_log_loss,WC2018_n,WC2022_log_loss,WC2022_n
730.0,0.4,0.9872062068009566,0.5788230256163651,0.5508399646330681,152,0.9536179810108175,65,1.0207944325910958,87
730.0,0.3,0.9873032251156911,0.5778412303510472,0.5508399646330681,152,0.9514610080710535,65,1.0231454421603288,87
730.0,0.5,0.9881292266764299,0.5804420916131112,0.5508399646330681,152,0.9567664682802579,65,1.0194919850726019,87
730.0,0.2,0.9883977015394028,0.5774967058171568,0.5604774535809018,152,0.9502474330411953,65,1.0265479700376101,87
365.0,0.5,0.9906049370984669,0.5818186076206049,0.5547303271441202,152,0.9573229273415627,65,1.023886946855371,87
365.0,0.4,0.9906962656829574,0.5807825290146789,0.5547303271441202,152,0.9550768044608916,65,1.0263157269050232,87
365.0,0.3,0.9920246737115479,0.5804862825366215,0.5566755083996464,152,0.9540765892236454,65,1.0299727581994504,87
180.0,0.5,0.9920886228951461,0.5824877347111251,0.5432360742705571,152,0.9567262549632238,65,1.0274509908270684,87
90.0,0.7,0.9924842451181348,0.5844954789021141,0.5432360742705571,152,0.9611984105589495,65,1.0237700796773201,87
730.0,0.7,0.9932436602984339,0.5855920358008874,0.5374005305039788,152,0.9663458908181413,65,1.0201414297787266,87
730.0,0.0,0.9935947876664691,0.5787194689436602,0.5681697612732095,152,0.9505453208936014,65,1.0366442544393368,87
180.0,0.4,0.9937489751561439,0.5824001845003397,0.5374889478337754,152,0.9561867063347314,65,1.0313112439775565,87
90.0,0.5,0.9937842545677641,0.5834238693619852,0.5451812555260831,152,0.9569945400344386,65,1.0305739691010896,87
180.0,0.7,0.9939105463273307,0.5856970344933378,0.5470380194518125,152,0.963612706090827,65,1.0242083865638343,87
365.0,0.7,0.9942346470163927,0.586110261216062,0.5393457117595049,152,0.9658313630101379,65,1.0226379310226474,87
365.0,0.2,0.9946095551300529,0.5809298681864323,0.5509283819628648,152,0.9542948005370332,65,1.0349243097230727,87
180.0,0.3,0.9971976890443787,0.5833240340764347,0.5374889478337754,152,0.9575863355451024,65,1.036809042543655,87
90.0,0.4,0.9982571348876226,0.5852867824631116,0.5297966401414678,152,0.9591710439270819,65,1.0373432258481632,87
180.0,0.2,1.0026027270606899,0.5852592834394104,0.5432360742705571,152,0.9610376907342063,65,1.0441677633871733,87
365.0,0.0,1.0038333521821896,0.5840365358696595,0.5451812555260831,152,0.9584224034040449,65,1.0492443009603343,87
90.0,0.3,1.0055284657167771,0.5887488408116985,0.5163572060123784,152,0.9644097218340428,65,1.0466472095995114,87
90.0,1.0,1.010780883402525,0.5980964825682612,0.5297082228116711,152,0.9910893015155814,65,1.0304724652894686,87
365.0,1.0,1.010780883402525,0.5980964825682612,0.5297082228116711,152,0.9910893015155814,65,1.0304724652894686,87
180.0,1.0,1.010780883402525,0.5980964825682612,0.5297082228116711,152,0.9910893015155814,65,1.0304724652894686,87
730.0,1.0,1.010780883402525,0.5980964825682612,0.5297082228116711,152,0.9910893015155814,65,1.0304724652894686,87
90.0,0.2,1.01604483837927,0.5938100444077461,0.5278514588859416,152,0.9731113834092189,65,1.0589782933493208,87
180.0,0.0,1.0208381629183907,0.5921639815260036,0.5067197170645447,152,0.9752087171964563,65,1.0664676086403253,87
90.0,0.0,1.051484866132195,0.6087298873422226,0.5029177718832891,152,1.004405140974896,65,1.098564591289494,87
